MAR03905	ADH6
MAR03905	ADH1A
MAR03905	ADH7
MAR03905	ADH1C
MAR03905	ADH5
MAR03905	ZADH2
MAR03905	ADH1B
MAR03905	ADH4
MAR03905	ADHFE1
MAR03907	AKR1A1
MAR04097	ACSS2
MAR04099	ACSS3
MAR04099	ACSS1
MAR04108	ACSS2
MAR04133	ACSS2
MAR04281	LDHA
MAR04281	LDHB
MAR04388	LDHA
MAR04388	LDHAL6A
MAR04388	LDHB
MAR04388	LDHC
MAR04388	LDHAL6B
MAR04283	ALDH3B1
MAR04283	ALDH1A3
MAR04283	ALDH3B2
MAR04283	ALDH3A1
MAR08357	ALDH2
MAR08357	ALDH1B1
MAR08357	ALDH3A2
MAR08357	ALDH7A1
MAR08357	ALDH9A1
MAR04379	PFKM
MAR04379	PFKL
MAR04379	PFKP
MAR04301	PFKM
MAR04301	PFKL
MAR04301	PFKP
MAR04355	ALDOC
MAR04355	ALDOB
MAR04358	PKLR
MAR04358	PKM
MAR04360	ZADH2
MAR04363	ENO3
MAR04363	ENO1
MAR04363	ENO2
MAR04365	PGAM1
MAR04365	PGAM2
MAR04365	BPGM
MAR04365	PGAM4
MAR04368	PGK2
MAR04368	CRISP3
MAR04368	PGK1
MAR04370	ACYP2
MAR04370	ACYP1
MAR04371	PGAM1
MAR04371	PGAM2
MAR04371	BPGM
MAR04371	PGAM4
MAR04372	ACYP2
MAR04372	ACYP1
MAR04373	GAPDH
MAR04373	GAPDHS
MAR04375	ALDOC
MAR04375	ALDOA
MAR04375	ALDOB
MAR04377	FBP2
MAR04377	FBP1
MAR04381	GPI
MAR04391	TPI1
MAR04394	HK2
MAR04394	HK3
MAR04394	GCK
MAR04394	HK1
MAR04394	HKDC1
MAR04396	PGM1
MAR04396	PGM2
MAR04521	G6PC2
MAR04521	G6PC1
MAR04521	G6PC3
MAR06412	PDHX
MAR06412	DLAT
MAR07745	GALM
MAR07747	ADPGK
MAR08360	CAT
MAR08652	G6PC2
MAR08652	G6PC1
MAR08652	G6PC3
MAR08757	CYP2E1
MAR03989	CAPN3
MAR03989	MGAM
MAR03989	GANC
MAR03989	GAA
MAR04122	UGDH
MAR04837	PGGHG
MAR04837	TREH
MAR05395	GYG1
MAR05395	GYG2
MAR05396	GYG1
MAR05396	GYS2
MAR05396	GYS1
MAR05396	GYG2
MAR09727	PPP1R3C
MAR09727	PPP1R3B
MAR09727	GYS1
MAR09727	GYS2
MAR05397	GBE1
MAR05398	PYGM
MAR05398	PYGL
MAR05398	PYGB
MAR05399	AGL
MAR05400	AGL
MAR05401	PYGM
MAR05401	PYGL
MAR05401	PYGB
MAR08568	AMY2A
MAR08568	AMY1C
MAR08568	AMY2B
MAR08568	AMY1A
MAR08568	AMY1B
MAR08568	LYZL1
MAR08569	AMY2A
MAR08569	AMY1C
MAR08569	AMY2B
MAR08569	AMY1A
MAR08569	AMY1B
MAR08569	LYZL1
MAR08570	AMY2A
MAR08570	AMY1C
MAR08570	AMY2B
MAR08570	AMY1A
MAR08570	AMY1B
MAR08570	LYZL1
MAR08571	AMY2A
MAR08571	AMY1C
MAR08571	AMY2B
MAR08571	AMY1A
MAR08571	AMY1B
MAR08571	LYZL1
MAR08572	AMY2A
MAR08572	AMY1C
MAR08572	AMY2B
MAR08572	AMY1A
MAR08572	AMY1B
MAR08572	LYZL1
MAR08573	AMY2A
MAR08573	AMY1C
MAR08573	AMY2B
MAR08573	AMY1A
MAR08573	AMY1B
MAR08573	LYZL1
MAR08574	AMY2A
MAR08574	AMY1C
MAR08574	AMY2B
MAR08574	AMY1A
MAR08574	AMY1B
MAR08574	LYZL1
MAR08575	AMY2A
MAR08575	AMY1C
MAR08575	AMY2B
MAR08575	AMY1A
MAR08575	AMY1B
MAR08575	LYZL1
MAR08576	AMY2A
MAR08576	AMY1C
MAR08576	AMY2B
MAR08576	AMY1A
MAR08576	AMY1B
MAR08576	LYZL1
MAR08577	AMY2A
MAR08577	AMY1C
MAR08577	AMY2B
MAR08577	AMY1A
MAR08577	AMY1B
MAR08577	LYZL1
MAR08578	AMY2A
MAR08578	AMY1C
MAR08578	AMY2B
MAR08578	AMY1A
MAR08578	AMY1B
MAR08578	LYZL1
MAR08579	AMY2A
MAR08579	AMY1C
MAR08579	AMY2B
MAR08579	AMY1A
MAR08579	AMY1B
MAR08579	LYZL1
MAR08581	AMY2A
MAR08581	AMY1C
MAR08581	AMY2B
MAR08581	AMY1A
MAR08581	AMY1B
MAR08581	LYZL1
MAR08591	MGAM
MAR08591	GANC
MAR08592	GAA
MAR08580	AMY2A
MAR08580	AMY1C
MAR08580	AMY2B
MAR08580	AMY1A
MAR08580	AMY1B
MAR08580	LYZL1
MAR08582	AMY2A
MAR08582	AMY1C
MAR08582	AMY2B
MAR08582	AMY1A
MAR08582	AMY1B
MAR08582	LYZL1
MAR08587	MGAM
MAR08587	GANC
MAR08589	GAA
MAR08583	MGAM
MAR08584	SI
MAR08585	PGM2L1
MAR03944	UGP2
MAR04128	GALE
MAR04130	GALK1
MAR04130	GALK2
MAR04131	GALT
MAR04132	GALT
MAR04303	MGAM
MAR04303	SI
MAR04303	GANC
MAR04303	GAA
MAR04414	GALK1
MAR04414	FAM227B
MAR04414	GALK2
MAR04415	GLB1L
MAR04415	TMPPE
MAR04415	GLB1
