1:156058750:156317500	1:156322500:156616250
1:156322500:156616250	1:156623750:156895000
1:156623750:156895000	1:156905000:157141875
1:156905000:157141875	1:157150625:157500625
1:157150625:157500625	1:157506875:157847500
1:157506875:157847500	1:157927500:158100000
1:157927500:158100000	1:159135000:159845000
1:159135000:159845000	1:160360000:160642500
1:160360000:160642500	1:161158750:161415000
1:161158750:161415000	1:161435000:161725000
1:161435000:161725000	1:162012500:162595625
1:162012500:162595625	1:162786875:163327500
1:162786875:163327500	1:163332500:164025000
1:163332500:164025000	1:164470000:165080000
1:164470000:165080000	1:165200000:165565000
1:165200000:165565000	1:166420000:166850000
1:166420000:166850000	1:166855000:167032500
1:166855000:167032500	1:167037500:167180000
1:167037500:167180000	1:167190000:167562500
1:167190000:167562500	1:167677500:168052500
1:167677500:168052500	1:169422500:169522500
1:169422500:169522500	1:169537500:169867500
1:169537500:169867500	1:169872500:170052500
1:169872500:170052500	1:171415000:171962500
1:171415000:171962500	1:171985000:172392500
1:171985000:172392500	1:172397500:172702500
1:172397500:172702500	1:172707500:173375000
1:172707500:173375000	1:173380000:173807500
1:173380000:173807500	1:173932500:174212500
1:173932500:174212500	1:174217500:174727500
1:174217500:174727500	1:174732500:174992500
1:174732500:174992500	1:174997500:175292500
1:174997500:175292500	1:175365000:176207500
1:175365000:176207500	1:176317500:176852500
1:176317500:176852500	1:176857500:177965000
1:176857500:177965000	1:177970000:178265000
1:177970000:178265000	1:178460000:178670000
1:178460000:178670000	1:179652500:179785000
1:179652500:179785000	1:179790000:180175000
1:179790000:180175000	1:180190000:180462500
1:180190000:180462500	1:180467500:180842500
1:180467500:180842500	1:180847500:181148750
1:180847500:181148750	1:181156250:181402500
1:181156250:181402500	1:181407500:181997500
1:181407500:181997500	1:182029375:182407500
1:182029375:182407500	1:182550000:182867500
1:182550000:182867500	1:182887500:183596250
1:182887500:183596250	1:183603750:183905000
1:183603750:183905000	1:183940000:184677500
1:183940000:184677500	1:184692500:184972500
1:184692500:184972500	1:184985000:185155000
1:184985000:185155000	1:185275000:185680000
1:185275000:185680000	1:185685000:186282500
1:185685000:186282500	1:186347500:187015000
1:186347500:187015000	1:189125000:190412500
1:189125000:190412500	1:190525000:191107500
1:190525000:191107500	1:192432500:192725000
1:192432500:192725000	1:192747500:193107500
1:192747500:193107500	1:194307500:194817500
1:194307500:194817500	1:195767500:196080000
1:195767500:196080000	1:196292500:196741250
1:196292500:196741250	1:197112500:197327500
1:197112500:197327500	1:197332500:197902500
1:197332500:197902500	1:197907500:198697500
1:197907500:198697500	1:198702500:199542500
1:198702500:199542500	1:199582500:200050000
1:199582500:200050000	1:200542500:200857500
1:200542500:200857500	1:202131250:202635000
1:202131250:202635000	1:202692500:202862500
1:202692500:202862500	1:202867500:202992500
1:202867500:202992500	1:202997500:203210000
1:202997500:203210000	1:203215000:203462500
1:203215000:203462500	1:203467500:203822500
1:203467500:203822500	1:203827500:204110000
1:203827500:204110000	1:204115000:204372500
1:204115000:204372500	1:204377500:204492500
1:204377500:204492500	1:204505000:204897500
1:204505000:204897500	1:205747500:205993750
1:205747500:205993750	1:206762500:207102500
1:206762500:207102500	1:207977500:208165000
1:207977500:208165000	1:210565000:211427500
1:210565000:211427500	1:211842500:212182500
1:211842500:212182500	1:212187500:212617500
1:212187500:212617500	1:212622500:212977500
1:212622500:212977500	1:213392500:214377500
1:213392500:214377500	1:214382500:214510000
1:214382500:214510000	1:214515000:214827500
1:214515000:214827500	1:214837500:215870000
1:214837500:215870000	1:217602500:217947500
1:217602500:217947500	1:217952500:218400000
1:217952500:218400000	1:218405000:218707500
1:218405000:218707500	1:218744375:219988750
1:218744375:219988750	1:220294375:220955000
1:220294375:220955000	1:220960000:221392500
1:220960000:221392500	1:221622500:221902500
1:221622500:221902500	1:221907500:222642500
1:221907500:222642500	1:222655000:222805000
1:222655000:222805000	1:222810000:222897500
1:222810000:222897500	1:222902500:223352500
1:222902500:223352500	1:223885000:224116250
1:223885000:224116250	1:224188750:224507500
1:224188750:224507500	1:224530000:224655000
1:224530000:224655000	1:225597500:226197500
1:225597500:226197500	1:227695000:227916250
1:227695000:227916250	1:228267500:228723125
1:228267500:228723125	1:228764375:229377500
1:228764375:229377500	1:229382500:229667500
1:229382500:229667500	1:230492500:230762500
1:230492500:230762500	1:230832500:231477500
1:230832500:231477500	1:231482500:231770000
1:231482500:231770000	1:231945000:232770000
1:231945000:232770000	1:232837500:233412500
1:232837500:233412500	1:234247500:234490000
1:234247500:234490000	1:234545000:235270000
1:234545000:235270000	1:236222500:236680000
1:236222500:236680000	1:239532500:240170000
1:239532500:240170000	1:241657500:242197500
1:241657500:242197500	1:242447500:243156250
1:242447500:243156250	1:243477500:244597500
1:243477500:244597500	1:244712500:244985000
1:244712500:244985000	1:244990000:245232500
1:244990000:245232500	1:246161875:246667500
1:246161875:246667500	1:246673750:246960000
1:246673750:246960000	1:247115000:247522500
1:247115000:247522500	1:247527500:247750000
1:247527500:247750000	10:116875:833750
10:116875:833750	10:841250:1265625
10:841250:1265625	10:1670000:3110000
10:1670000:3110000	10:3231250:4825000
10:3231250:4825000	10:5477500:5710000
10:5477500:5710000	10:5715000:5980000
10:5715000:5980000	10:6452500:6737500
10:6452500:6737500	10:6765000:7553750
10:6765000:7553750	10:7807500:8093750
10:7807500:8093750	10:8101250:9355000
10:8101250:9355000	10:9360000:10107500
10:9360000:10107500	10:11087500:11512500
10:11087500:11512500	10:11517500:11822500
10:11517500:11822500	10:11845000:12040000
10:11845000:12040000	10:12210000:12767500
10:12210000:12767500	10:12785000:13391875
10:12785000:13391875	10:13587500:13842500
10:13587500:13842500	10:15210000:15437500
10:15210000:15437500	10:15442500:15897500
10:15442500:15897500	10:15907500:16427500
10:15907500:16427500	10:16452500:16855000
10:16452500:16855000	10:19855000:20105000
10:19855000:20105000	10:21740000:22037500
10:21740000:22037500	10:22055000:22252500
10:22055000:22252500	10:22837500:23402500
10:22837500:23402500	10:23417500:24040000
10:23417500:24040000	10:24840000:25407500
10:24840000:25407500	10:25565000:25988125
10:25565000:25988125	10:26005625:26585000
10:26005625:26585000	10:26991875:27185000
10:26991875:27185000	10:27190000:27597500
10:27190000:27597500	10:27965000:28701250
10:27965000:28701250	10:28707500:28912500
10:28707500:28912500	10:28917500:29302500
10:28917500:29302500	10:30260000:30642500
10:30260000:30642500	10:30647500:30940000
10:30647500:30940000	10:30967500:32012500
10:30967500:32012500	10:32125000:32340000
10:32125000:32340000	10:33060000:33433125
10:33060000:33433125	10:34967500:35254375
10:34967500:35254375	10:35265000:35515625
10:35265000:35515625	10:35522500:35907500
10:35522500:35907500	10:36032500:37187500
10:36032500:37187500	10:37445000:39559375
10:37445000:39559375	10:42752500:43310000
10:42752500:43310000	10:43327500:43615000
10:43327500:43615000	10:44957500:45482500
10:44957500:45482500	10:45487500:45732500
10:45487500:45732500	10:45737500:46375000
10:45737500:46375000	10:46765000:47250000
10:46765000:47250000	10:48148125:48848750
10:48148125:48848750	10:49206250:49732500
10:49206250:49732500	10:49857500:51207500
10:49857500:51207500	10:51742500:52445000
10:51742500:52445000	10:52578750:54040000
10:52578750:54040000	10:54567500:55277500
10:54567500:55277500	10:55307500:56645000
10:55307500:56645000	10:57447500:58670000
10:57447500:58670000	10:59920000:60185000
10:59920000:60185000	10:60502500:60977500
10:60502500:60977500	10:60992500:61365000
10:60992500:61365000	10:61555000:61852500
10:61555000:61852500	10:64290000:64890000
10:64290000:64890000	10:64915000:65585000
10:64915000:65585000	10:68332500:68695000
10:68332500:68695000	10:68740000:69425000
10:68740000:69425000	10:69537500:70100000
10:69537500:70100000	10:70747500:70982500
10:70747500:70982500	10:70987500:71185000
10:70987500:71185000	10:72655000:73040000
10:72655000:73040000	10:73815000:74117500
10:73815000:74117500	10:74122500:74895000
10:74122500:74895000	10:75612500:75925000
10:75612500:75925000	10:75990000:76537500
10:75990000:76537500	10:76575000:77016250
10:76575000:77016250	10:77028750:77847500
10:77028750:77847500	10:78085000:78328125
10:78085000:78328125	10:78362500:78875000
10:78362500:78875000	10:78902500:79572500
10:78902500:79572500	10:79792500:81085000
10:79792500:81085000	10:81122500:81278750
10:81122500:81278750	10:82001250:82287500
10:82001250:82287500	10:86000000:86320000
10:86000000:86320000	10:86507500:88057500
10:86507500:88057500	10:88157500:88437500
10:88157500:88437500	10:88444375:88752500
10:88444375:88752500	10:89535000:90335000
10:89535000:90335000	10:90447500:90580000
10:90447500:90580000	10:90585000:90687500
10:90585000:90687500	10:90752500:90987500
10:90752500:90987500	10:90992500:91175000
