COL2A1	UMLS:C0265253	1	141
COL2A1	UMLS:C0265279	1	142
COL2A1	UMLS:C0700635	1	143
COL2A1	UMLS:C1835437	1	144
COL2A1	UMLS:C1836080	1	145
COL2A1	UMLS:C1851536	1	146
COL2A1	UMLS:C1858079	1	147
COL2A1	UMLS:C2745959	1	148
COL3A1	UMLS:C0268337	1	149
COL4A1	UMLS:C1843512	1	150
COL4A1	UMLS:C1867983	1	151
COL4A1	UMLS:C2673195	1	152
COL4A3	UMLS:C0241908	1	153
PROKR2	UMLS:C0162809	1	154
COL4A5	UMLS:C1567742	1	155
CHMP4B	UMLS:C1854311	1	156
COL5A1	UMLS:C0268335	1	157
COL5A1	UMLS:C0268336	1	158
COL6A1	UMLS:C0410179	1	159
COL6A1	UMLS:C1834674	1	160
COL6A2	UMLS:C0410179	1	161
COL6A2	UMLS:C1834674	1	162
COL6A3	UMLS:C0410179	1	163
COL6A3	UMLS:C1834674	1	164
COL7A1	UMLS:C0079474	1	165
COL7A1	UMLS:C0432321	1	166
COL7A1	UMLS:C0432322	1	167
COL7A1	UMLS:C1275114	1	168
COL7A1	UMLS:C1843761	1	169
COL7A1	UMLS:C1851573	1	170
DIS3L2	UMLS:C0796113	1	171
COL8A2	UMLS:C1850959	1	172
COL8A2	UMLS:C1852795	1	173
COL9A2	UMLS:C0158252	1	174
BBS5	UMLS:C0752166	1	175
COL10A1	UMLS:C0265289	1	176
COL11A1	UMLS:C1858084	1	177
COL11A2	UMLS:C0432210	1	178
COL11A2	UMLS:C1848488	1	179
COL11A2	UMLS:C1864746	1	180
COL11A2	UMLS:C1866095	1	181
ZNF513	UMLS:C3150879	1	182
COL17A1	UMLS:C0268374	1	183
COMP	UMLS:C0410538	1	184
COMP	UMLS:C1838280	1	185
COMT	UMLS:C0036341	1	186
UROC1	UMLS:C0268514	1	187
EVC2	UMLS:C0013903	1	188
COX6B1	UMLS:C0268237	1	189
WDR36	UMLS:C1835933	1	190
COX15	UMLS:C0023264	1	191
NOBOX	UMLS:C1969060	1	192
CPN1	UMLS:C0398782	1	193
CPOX	UMLS:C0162531	1	194
CPS1	UMLS:C0751753	1	195
CPT2	UMLS:C1833508	1	196
NKX2-6	UMLS:C1857586	1	197
CREBBP	UMLS:C0035934	1	198
CRX	UMLS:C0035334	1	199
TRPM6	UMLS:C1865974	1	200
CRYAB	UMLS:C1837317	1	201
