multiplex	node	score
6	C0042963	2.8614395504798065e-05
6	C0027497	2.8383198815734837e-05
6	C0018681	2.8356037521756722e-05
6	C0011603	2.6048823176032982e-05
6	C0015230	2.587854449713139e-05
6	C2830004	2.5820349268825735e-05
6	C0012833	2.5494648082254268e-05
6	C0004093	2.2987341909677527e-05
6	C0015672	2.1096869419537458e-05
6	C0004134	2.1027512267793282e-05
6	C0085631	2.0791913146108764e-05
6	C1443060	1.9973336879749794e-05
6	C0232462	1.9338351632471764e-05
6	C0009806	1.9046642938729403e-05
6	C0020517	1.880048176019616e-05
6	C0033774	1.853498084518935e-05
6	C0042571	1.836808737894248e-05
6	C0011991	1.8246580676678316e-05
6	C0017178	1.8068985771320895e-05
6	C0009676	1.786621394892501e-05
6	C0012569	1.7832671907030043e-05
6	C0003123	1.729005748366182e-05
6	C0015967	1.7221384495048152e-05
6	C0917801	1.680224463687175e-05
6	C0003467	1.6252883504486398e-05
6	C0027765	1.6047382868397133e-05
6	C0023530	1.588860924733038e-05
6	C0040034	1.5592973696705843e-05
6	C0013395	1.5477890079181652e-05
6	C0037274	1.5439054959133607e-05
6	C0028738	1.5320251634632208e-05
6	C0040822	1.4968825131454392e-05
6	C0178298	1.4849112604694059e-05
6	C0030554	1.4591842863302598e-05
6	C0013144	1.4564029463732442e-05
6	C0018524	1.4482661763866214e-05
6	C0042109	1.4295551697178538e-05
6	C0004936	1.427767851740392e-05
6	C0233494	1.399036341750844e-05
6	C0027769	1.3946173779512095e-05
6	C0015397	1.3775829493127238e-05
6	C0020649	1.3728049977738029e-05
6	C0002871	1.3668422860464496e-05
6	C0036974	1.3403032462534499e-05
6	C0948594	1.3317499055523096e-05
6	C0036572	1.3260560704950775e-05
6	C0014742	1.3212308277848492e-05
6	C0162429	1.2967410892124358e-05
6	C0022107	1.2930167425489107e-05
6	C0009450	1.2831471114579305e-05
6	C0001824	1.277209921652218e-05
6	C0344232	1.2526142007995224e-05
6	C0428977	1.230755837536027e-05
6	C0033975	1.2177780820908641e-05
6	C0039070	1.1775063953443383e-05
6	C0011570	1.1507843498245643e-05
6	C0038325	1.145870599738677e-05
6	C0001807	1.1355210828255731e-05
6	C0003862	1.133825625179768e-05
6	C0041657	1.1267140593479227e-05
6	C0030193	1.1246978711475753e-05
6	C0234215	1.114713918292878e-05
6	C0424295	1.110173549819457e-05
6	C0000737	1.0974672810521823e-05
6	C0520966	1.0972443692315332e-05
6	C0231528	1.0908770695563056e-05
6	C0043096	1.0809545724041912e-05
6	C0043352	1.0638057372630949e-05
6	C0014518	1.0633590104595334e-05
6	C1306341	1.0562058360905884e-05
6	C0267792	1.0445553670510216e-05
6	C0021053	1.0338624677277587e-05
6	C0035455	1.031380762381907e-05
6	C0687713	1.028129762444228e-05
6	C0032285	1.0200958796028328e-05
6	C0014591	1.0196010468965232e-05
6	C0549249	1.0179848177520105e-05
6	C0233472	1.0095049249092549e-05
6	C0085633	1.0079418993798381e-05
6	C0020458	1.0023811529506056e-05
6	C0010200	9.929356654832266e-06
6	C0233632	9.921359733483789e-06
6	C0497156	9.838671497853337e-06
6	C0037199	9.780065078146507e-06
6	C0575081	9.632298256945998e-06
6	C0027947	9.608691668426732e-06
6	C0233414	9.598960358662516e-06
6	C0004604	9.574659508485936e-06
6	C0006277	9.54848747015609e-06
6	C0002994	9.546549316720123e-06
6	C0032617	9.501518065904223e-06
6	C0231218	9.468033493194112e-06
6	C2047937	9.439847760639457e-06
6	C0039231	9.436507138485261e-06
6	C0018965	9.344891559274362e-06
6	C0002792	9.319825053592425e-06
6	C0014457	9.262666927587433e-06
6	C0009782	9.19157408835364e-06
6	C1167965	9.184089110787995e-06
6	C0040264	9.165807601519018e-06
